City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Ngunguru,NZ,75.16,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
333,Puerto Del Rosario,ES,64.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
334,Luderitz,,66.11,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
335,Cockburn Town,TC,76.08,clear sky,21.4612,-71.1419,Osprey Beach Hotel
340,Ndende,GA,71.08,broken clouds,-2.4008,11.3581,
346,Berbera,SO,77.4,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
348,Faanui,PF,80.31,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
349,Todos Santos,MX,66.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
351,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
354,Sadasivpet,IN,72.41,few clouds,17.6212,77.9503,Anantha sai medical & General store
355,Bubaque,GW,77.5,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
357,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
359,Cururupu,BR,74.46,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
363,Sao Jose Da Coroa Grande,BR,77.94,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
364,Anage,BR,70.92,overcast clouds,-14.6122,-41.1356,
365,Sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
366,Maldonado,UY,65.59,overcast clouds,-34.6667,-54.9167,La Cimarrona
369,Mweka,CD,66.92,light rain,-4.85,21.5667,Guest House Boshab
372,Los Llanos De Aridane,ES,65.12,clear sky,28.6585,-17.9182,Valle Aridane
373,Cabo San Lucas,MX,66.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
374,Coahuayana,MX,68.22,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
375,Taungdwingyi,MM,80.26,broken clouds,20.0167,95.55,NayNaing MobileService
378,Tabou,CI,77.56,moderate rain,4.423,-7.3528,hotêl doufoulougou
379,Nelson Bay,AU,76.75,broken clouds,-32.7167,152.15,Mantra Nelson Bay
382,Mandurah,AU,79.14,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
384,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
385,Port Pirie,AU,87.89,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
387,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
388,Zaraza,VE,75.9,broken clouds,9.3503,-65.3245,Hotel Zaraza
393,Totness,SR,76.15,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
397,Bumba,CD,67.24,overcast clouds,2.1833,22.4667,Père Carlos
402,Indramayu,ID,82.27,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
403,Beberibe,BR,80.64,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
404,Poya,NC,81.97,overcast clouds,-21.35,165.15,
407,Grand Baie,MU,82.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
410,Rafaela,AR,62.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
411,Opuwo,,62.91,overcast clouds,-18.0607,13.84,ABBA Guesthouse
412,Bambanglipuro,ID,73.6,broken clouds,-7.95,110.2833,Puri Brata
415,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
416,Bafut,CM,62.46,scattered clouds,6.0833,10.1,Emmanuel Sisterhood Bafut
417,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
419,Ouro Fino,BR,67.23,light rain,-22.2831,-46.3692,Hotel Fazenda Ouro Park
421,Ambilobe,MG,74.34,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
426,Nova Serrana,BR,68.72,overcast clouds,-19.8761,-44.9836,ALPHACENTER HOTEL - NOVA SERRANA - MG RESERVAS 03732261001
428,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
431,Monte Alegre,BR,73.49,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
435,Barkly West,ZA,65.48,clear sky,-28.5354,24.5215,Stafford Parker Guest House
436,Manavalakurichi,IN,84.29,scattered clouds,8.1333,77.3,Jebinrio home
437,Coacoyul,MX,66.22,clear sky,17.8058,-99.11,Casa Abuelita Natalia
444,Dicabisagan,PH,74.12,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
445,Claudio,BR,67.19,light rain,-20.4433,-44.7658,Hotel 3 Irmãos
447,Zemio,CF,67.08,overcast clouds,5.0314,25.1361,OCHA Office
449,Erechim,BR,64.78,overcast clouds,-27.6342,-52.2739,Hotel Buongiorno
451,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
453,Kerema,PG,87.39,overcast clouds,-7.9631,145.7785,Frena Lodge
456,Mapiripan,CO,73.76,broken clouds,2.8892,-72.1256,Monserrate
460,Sao Filipe,CV,72.45,clear sky,14.8961,-24.4956,Hotel Xaguate
461,Rocha,UY,63.82,broken clouds,-34.4833,-54.3333,Hotel Arrarte
462,Formosa,AR,75.18,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
463,Ulladulla,AU,70.7,scattered clouds,-35.35,150.4667,Sandpiper Motel
467,Paita,PE,71.17,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
468,Puerto Madero,MX,77.38,scattered clouds,14.7208,-92.4215,Hospedaje madero
469,Sesheke,ZM,65.95,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
470,Exu,BR,75.61,overcast clouds,-7.5119,-39.7242,Pousada Albuquerque
472,Cape Canaveral,US,63.03,broken clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
